accepted,classcode,cnn,cnntext,district,f_node_cnn,jurisdicti,layer,lf_fadd,lf_toadd,multigeom,nhood,oneway,rt_fadd,rt_toadd,st_type,street,street_gc,streetname,t_node_cnn,zip_code,geometry,x,y,mean_dist_10_crimes,mean_dist_10_vcrimes,mean_dist_10_pcrimes
N,5,5686000.0,5686000,,24349000.0,,STREETS,1701.0,1749.0,F,Inner Mission,B,1700.0,1702.0,ST,FOLSOM,FOLSOM,FOLSOM ST,24343000.0,94103,"LINESTRING (-122.4155770150173 37.7695911603527, -122.4156115088553 37.76936201861793)",-122.41559426193629,37.769476589485315,6.901378233397576e-05,0.0003814142608773842,6.901378233397576e-05
Y,5,9096002.0,9096002,,35047000.0,DPW,STREETS,827.0,879.0,F,Financial District South,B,828.0,880.0,ST,MISSION,MISSION,MISSION ST,35048000.0,94103,"LINESTRING (-122.4048647940986 37.78400661333395, -122.406023808991 37.78309140365406)",-122.40544430154476,37.783549008494006,6.243611595169171e-05,6.243611595169171e-05,6.243611595169171e-05
Y,5,10626000.0,10626000,,24658000.0,DPW,STREETS,137.0,199.0,F,Financial District North,T,142.0,198.0,ST,POST,POST,POST ST,24660000.0,94108,"LINESTRING (-122.4043439912025 37.78880666342702, -122.405221173432 37.78869399203997)",-122.40478258231724,37.788750327733496,5.533758610623526e-05,0.00020352390536856579,5.533758610623526e-05
Y,3,2771000.0,2771000,,24881000.0,,STREETS,1.0,49.0,F,North Waterfront,B,2.0,48.0,ST,BAY,BAY,BAY ST,25384000.0,94133,"LINESTRING (-122.4056587847106 37.8066736313225, -122.4058646073928 37.80658072879056, -122.4071462816661 37.80642781416783)",-122.40639470082311,37.806522572493314,5.79910073951884e-05,0.0005207727202769996,5.79910073951884e-05
Y,5,5717201.0,5717201,,33479000.0,DPW,STREETS,0.0,0.0,F,Stonestown,F,100.0,198.0,BLVD,FONT,FONT,FONT BLVD,33480000.0,94132,"LINESTRING (-122.4729909579848 37.71501138931503, -122.4731044907599 37.7151561476778, -122.4742217339779 37.71583596633241, -122.474446428242 37.71589586893207)",-122.47368794292548,37.715501949023356,6.781641389814884e-05,6.781641389814884e-05,6.781641389814884e-05
Y,4,12666000.0,12666000,,23854000.0,DPW,STREETS,601.0,699.0,F,Mission Bay,B,600.0,698.0,ST,TOWNSEND,TOWNSEND,TOWNSEND ST,23871000.0,94103,"LINESTRING (-122.4016566810742 37.77181712537657, -122.4038777006534 37.77006286633157)",-122.40276719086383,37.77093999585407,6.216566047051895e-05,0.0007406241475758873,6.216566047051895e-05
Y,5,12427000.0,12427000,,24924000.0,DPW,STREETS,101.0,199.0,F,Downtown - Tenderloin,F,100.0,198.0,ST,TAYLOR,TAYLOR,TAYLOR ST,24925000.0,94102,"LINESTRING (-122.4107648272764 37.78321431276614, -122.4109516180117 37.78414101219474)",-122.41085822264407,37.78367766248044,6.88240394453101e-05,6.986962594344132e-05,6.88240394453101e-05
Y,5,10628000.0,10628000,,24908000.0,DPW,STREETS,301.0,399.0,F,Downtown - Tenderloin,T,300.0,398.0,ST,POST,POST,POST ST,24918000.0,94108,"LINESTRING (-122.4067711440814 37.78849947979536, -122.4084015496774 37.78829319381329)",-122.40758634687938,37.788396336804325,5.641791817567811e-05,5.7517404881693065e-05,5.641791817567811e-05
Y,5,6623000.0,6623000,,26414000.0,DPW,STREETS,1701.0,1799.0,F,Haight Ashbury,B,1728.0,1798.0,ST,HAIGHT,HAIGHT,HAIGHT ST,26430000.0,94117,"LINESTRING (-122.4507101807977 37.76952604454679, -122.451865727271 37.76937866363581)",-122.45128795403433,37.7694523540913,5.740893446729713e-05,0.0003727817965483688,5.7703043862039326e-05
Y,5,10635000.0,10635000,,24965000.0,DPW,STREETS,701.0,799.0,F,Downtown - Tenderloin,T,700.0,798.0,ST,POST,POST,POST ST,25157000.0,94109,"LINESTRING (-122.4133539637254 37.78766359876845, -122.4149954231003 37.78745384410677)",-122.41417469341285,37.78755872143761,5.643794822901773e-05,5.643794822901773e-05,5.643794822901773e-05
Y,5,6617000.0,6617000,,26340000.0,DPW,STREETS,1301.0,1399.0,F,Haight Ashbury,B,1300.0,1398.0,ST,HAIGHT,HAIGHT,HAIGHT ST,26342000.0,94117,"LINESTRING (-122.4436490861613 37.77042637070029, -122.4453449903129 37.77021017487181)",-122.44449703823709,37.77031827278604,5.723918595947447e-05,0.0002972630351351853,5.792734622725768e-05
Y,5,13718000.0,13718000,,24398000.0,DPW,STREETS,1.0,99.0,F,Inner Mission,T,2.0,98.0,ST,WOODWARD,WOODWARD,WOODWARD ST,24379000.0,94103,"LINESTRING (-122.4209386461942 37.76991755157708, -122.4207766148739 37.76822562535883)",-122.42085763053406,37.76907158846795,6.912039188591702e-05,0.0005145934665484817,6.912039188591702e-05
Y,3,7757000.0,7757000,,24750000.0,DPW,STREETS,631.0,699.0,F,Financial District North,F,630.0,698.0,ST,KEARNY,KEARNY,KEARNY ST,24770000.0,94108,"LINESTRING (-122.4047105828344 37.79402138054704, -122.4047964724407 37.79445300443973)",-122.40475352763755,37.794237192493384,6.890469462438845e-05,0.00037241594092905425,6.890469462438845e-05
Y,5,5174000.0,5174000,,24936000.0,DPW,STREETS,401.0,499.0,F,Downtown - Tenderloin,B,400.0,498.0,ST,ELLIS,ELLIS,ELLIS ST,25139000.0,94102,"LINESTRING (-122.4127821282901 37.78486624460891, -122.4129043733691 37.78484229239638, -122.4143030232723 37.78466421408842, -122.4144301982909 37.78465714109674)",-122.41360516939896,37.784753729761896,5.697390362074356e-05,5.697390362074356e-05,5.697390362074356e-05
Y,4,8752101.0,8752101,,24429000.0,DPW,STREETS,1201.0,1299.0,F,South of Market,T,0.0,0.0,ST,MARKET,MARKET,MARKET ST,30745000.0,94103,"LINESTRING (-122.414741221887 37.7787194288416, -122.4147650442405 37.77864084163172, -122.4161869938531 37.77751304268224, -122.4162917016352 37.77749384359777)",-122.41548694835467,37.778071193352936,6.328369894198138e-05,6.328369894198138e-05,6.328369894198138e-05
Y,5,10640000.0,10640000,,25200000.0,DPW,STREETS,1101.0,1199.0,F,Van Ness - Civic Center,T,1100.0,1198.0,ST,POST,POST,POST ST,25215000.0,94109,"LINESTRING (-122.4199279480624 37.7868275267553, -122.4215701155166 37.78661896075367)",-122.42074903178951,37.78672324375449,5.6441160256043594e-05,0.0003432699933582662,5.6441160256043594e-05
